"Error Log","错误日志",""
"Executing","正在执行",""
"Exit full screen","退出全屏",""
"Extra Parameters","扩展参数",""
"Extra Params","扩展参数",""
"Extracted Text","提取文本",""
"Failed","失败",""
"Feedback Comment","反馈说明",""
"Feedback Rating","反馈评分",""
"File Name","文件名",""
"File Size","文件大小",""
"Filter","筛选",""
"Finding relevant DocTypes","正在查找相关单据类型",""
"Finish setup to start","完成配置后即可开始",""
"Flow","ERP 智能体平台",""
"Flow Agent","ERP 智能体",""
"Flow Agent Knowledge Base","智能体知识库关联",""
"Flow Agent Memory","智能体记忆",""
"Flow Agent Tool","智能体工具关联",""
"Flow failed to load. Refresh the page to retry.","ERP 智能体平台加载失败，请刷新页面后重试。",""
"Flow Knowledge Base","ERP 知识库",""
"Flow Knowledge Chunk","知识分块",""
"Flow Knowledge Settings","知识库设置",""
"Flow Knowledge Source","知识源",""
"Flow Model","AI 模型",""
"Flow Model used to embed chunks and queries. Its Model ID must be an embedding model, e.g. <code>openai/text-embedding-3-small</code>.","用于生成知识分块和查询向量的 AI 模型。模型 ID 必须对应嵌入模型，例如 <code>openai/text-embedding-3-small</code>。",""
"Flow Model used to embed chunks and queries. Its Model ID must be an embedding model, e.g. openai/text-embedding-3-small.","用于生成知识分块和查询向量的 AI 模型。模型 ID 必须对应嵌入模型，例如 openai/text-embedding-3-small。",""
"Flow Provider","模型服务商",""
"Flow Run","运行记录",""
"Flow Session","智能体会话",""
"Flow Session Attachment","会话附件",""
"Flow Session Message","会话消息",""
"Flow Tool","智能体工具",""
"Flow Trigger","任务触发器",""
"Flow User","ERP 智能体用户",""
"Full screen","全屏",""
"Good response","回复很好",""
"Hybrid fuses vector similarity with keyword matching. Vector uses similarity alone.","混合检索会融合向量相似度与关键词匹配；向量检索仅使用相似度。",""
"I could not complete this task because your current Frappe/ERPNext user does not have the required permission. The task has been stopped, and no alternative route was attempted. Ask an administrator for access or hand the task to an authorized user.","当前 Frappe/ERPNext 用户缺少执行此任务所需的权限，因此任务已停止，且未尝试任何替代路径。请联系管理员申请权限，或将任务交给有权限的用户处理。",""
"Import Path","导入路径",""
"Indexing","索引状态",""
"Input → Output","输入 → 输出",""
"Instructions","指令",""
"Iterations","迭代次数",""
"Keywords","关键词",""
"Knowledge Bases","知识库",""
"Last Fired At","上次触发时间",""
"Last Synced At","上次同步时间",""
"List View","列表视图",""
"Loading…","正在加载…",""
"Max Iterations","最大迭代次数",""
"Maximum characters per chunk.","每个知识分块允许的最大字符数。",""
"Menu","菜单",""
"Model","AI 模型",""
"Model ID","模型 ID",""
"New chat","新建会话",""
"No","否",""
"No Flow Knowledge Base created","尚未创建 ERP 知识库",""
"No Flow Knowledge Source created","尚未创建知识源",""
"No matches","没有匹配项",""
"No matching sessions","没有匹配的会话",""
"No recent sessions","暂无最近会话",""
"Notifications","通知",""
"Open Flow assistant","打开 ERP 智能体",""
"Other…","其他…",""
"Parameters","参数",""
"Previous sessions","历史会话",""
"Prompt Template","提示词模板",""
"Ran {0} steps","已执行 {0} 个步骤",""
"Reading DocType Meta","正在读取单据类型元数据",""
"Reading DocType Records","正在读取单据记录",""
"Record {0}","记录 {0}",""
"records","条记录",""
"Remove","移除",""
"Request failed ({0})","请求失败（{0}）",""
"Requires Confirmation","需要确认",""
"Response interrupted","响应已中断",""
"Run ""{0}"" on {1}","在 {1} 上执行“{0}”",""
"Run As","执行身份",""
"Run Python code","运行 Python 代码",""
"Running Document Actions","正在执行单据操作",""
"Saved to agent memory.","已保存到智能体记忆。",""
"Scope","范围",""
"Search","搜索",""
"Search sessions…","搜索会话…",""
"Search Type","检索方式",""
"Search…","搜索…",""
"Searching Knowledge","正在搜索知识库",""
"Searching…","正在搜索…",""
"Select All","全选",""
"Send","发送",""
"Setup required…","需要完成配置…",""
"Show {0} more","再显示 {0} 项",""
"Show {0} more lines","再显示 {0} 行",""
"Show less","收起",""
"Show more","展开更多",""
"Slug","标识符",""
"Source Run","来源运行记录",""
"Source Type","来源类型",""
"Status","状态",""
"Stop","停止",""
"Submit","提交",""
"Summary (human-facing)","摘要（面向用户）",""
"System Generated","系统生成",""
"Target DocType","目标单据类型",""
"The assistant needs a few things configured first:","使用智能体前需要先完成以下配置：",""
"Thinking…","思考中…",""
"Title","标题",""
"Toggle Flow panel","切换 ERP 智能体面板",""
"Token Usage","令牌用量",""
"Tool Call ID","工具调用 ID",""
"Tool Calls","工具调用",""
"Tools","工具",""
"Transcript","会话记录",""
"Undo rating","撤销评价",""
"Update {0} {1} records","更新 {0} 条 {1} 记录",""
"Update 1 {0} record","更新 1 条 {0} 记录",""
"Updating Records","正在更新记录",""
"Upload failed ({0})","上传失败（{0}）",""
"Uploading…","正在上传…",""
"User Menu","用户菜单",""
"Vector width of the embedding model. Detected automatically when the embedding model is saved.","嵌入模型的向量维度；保存嵌入模型后自动识别。",""
"What went wrong? How should it respond instead?","哪里有问题？你希望它改成怎样回复？",""
"Yes","是",""
